iter	Logloss
0	0.6263286288
1	0.5645935554
2	0.5127967212
3	0.4705292189
4	0.4333414061
5	0.3962565857
6	0.369478572
7	0.3409354209
8	0.3153392201
9	0.2934185078
10	0.2764723564
11	0.2644513145
12	0.2518547026
13	0.2412632556
14	0.2301135493
15	0.2206166092
16	0.2132331531
17	0.2075725926
18	0.2016255779
19	0.1964123406
20	0.1919018233
21	0.1880083713
22	0.184794003
23	0.1814176206
24	0.1782982359
25	0.1756883965
26	0.1728820056
27	0.1709412222
28	0.1689513052
29	0.1671355376
30	0.1656585653
31	0.1638376012
32	0.1620360457
33	0.1607589335
34	0.1595703549
35	0.1583833808
36	0.1573474209
37	0.1563515467
38	0.1553950543
39	0.1543795368
40	0.1534098015
41	0.1527387611
42	0.1520976578
43	0.1514690859
44	0.1508052393
45	0.1502261909
46	0.149669269
47	0.1491127238
48	0.1485331771
49	0.1481137456
50	0.1475434015
51	0.1470699104
52	0.1464873569
53	0.145973723
54	0.1455561484
55	0.1451047097
56	0.1447787783
57	0.1444786959
58	0.1441473021
59	0.1437876394
60	0.1434824174
61	0.1431967567
62	0.1429232093
63	0.1425966258
64	0.142323636
65	0.142040561
66	0.1417477548
67	0.1415727809
68	0.1413876659
69	0.1412203373
70	0.1410483038
71	0.140771939
72	0.1404916434
73	0.1402217783
74	0.1400204241
75	0.139860048
76	0.1396691934
77	0.1394530213
78	0.1392239084
79	0.1389757187
80	0.1388153262
81	0.1386001714
82	0.1384283994
83	0.138288487
84	0.1381243295
85	0.1379528388
86	0.1378092894
87	0.1375283828
88	0.1374211744
89	0.1372655338
90	0.1370919189
91	0.1368574585
92	0.1367074866
93	0.1365917508
94	0.1364692575
95	0.1363624939
96	0.1362469446
97	0.1361377061
98	0.1359068139
99	0.1356985145
100	0.1355534114
101	0.1354056744
102	0.1352929469
103	0.1351513166
104	0.1350268671
105	0.1348839875
106	0.1346377802
107	0.1344683807
108	0.1343329031
109	0.1342062604
110	0.1340988456
111	0.1339757053
112	0.1338791202
113	0.1337609889
114	0.1336118867
115	0.1334751466
116	0.1333607603
117	0.133190261
118	0.1330787469
119	0.1330014643
120	0.1328760722
121	0.1328116926
122	0.1327318919
123	0.1326199316
124	0.1324965138
125	0.1324003099
126	0.1322862667
127	0.1321614038
128	0.1320388126
129	0.1319646316
130	0.1318637639
131	0.1317725132
132	0.1316696456
133	0.1315169282
134	0.1314111937
135	0.1313198602
136	0.1311928897
137	0.1311122098
138	0.1310143212
139	0.1309070541
140	0.1308463756
141	0.1307659024
142	0.1306933561
143	0.1305794876
144	0.1305052128
145	0.1304239969
146	0.1303413733
147	0.1302744158
148	0.1302046369
149	0.1301156528
150	0.1300374265
151	0.1299552546
152	0.1298612753
153	0.1297985377
154	0.1296994989
155	0.1296017395
156	0.1295013899
157	0.1294534395
158	0.129397536
159	0.1293447975
160	0.1292821281
161	0.1290512153
162	0.1289852232
163	0.1288937562
164	0.1288197716
165	0.128767679
166	0.1286948391
167	0.1286425501
168	0.1285682132
169	0.128474262
170	0.1284065362
171	0.128203942
172	0.1281121219
173	0.1280533194
174	0.1279590315
175	0.1278637901
176	0.1277893537
177	0.1277082567
178	0.1276084704
179	0.127525906
180	0.1274549375
181	0.1273825799
182	0.1273095345
183	0.1272349221
184	0.1271804291
185	0.1270845798
186	0.1270168039
187	0.1269054177
188	0.1268294102
189	0.1267849262
190	0.1267046572
191	0.1266144471
192	0.1265289898
193	0.1264296113
194	0.1263501482
195	0.1262572427
196	0.1261949189
197	0.1261463482
198	0.12607216
199	0.1260004928
200	0.1258035335
201	0.1257358864
202	0.125643422
203	0.1255776587
204	0.1255053495
205	0.1253977498
206	0.125314039
207	0.1252530842
208	0.1251712711
209	0.1251100524
210	0.1250299404
211	0.1249322299
212	0.124839788
213	0.1247607619
214	0.1247048555
215	0.1246072444
216	0.1245540402
217	0.1244487315
218	0.1243924168
219	0.1243339313
220	0.124264919
221	0.1241895124
222	0.1241294377
223	0.1240302286
224	0.1238295393
225	0.1237860942
226	0.1236720545
227	0.1236095464
228	0.1235724189
229	0.1234944868
230	0.1234215002
231	0.1233916155
232	0.1233186178
233	0.1232577349
234	0.1232110184
235	0.1231696542
236	0.1230858407
237	0.1230188588
238	0.1229660656
239	0.12286674
240	0.1227992421
241	0.1227144863
242	0.1226640751
243	0.1226021051
244	0.1225541082
245	0.1224309896
246	0.1223433627
247	0.1222971044
248	0.1222084685
249	0.1221330489
250	0.1220754418
251	0.1220367245
252	0.1219102966
253	0.1218239804
254	0.1217702469
255	0.1216958011
256	0.121639764
257	0.1215762061
258	0.1215157182
259	0.1214616113
260	0.1213872188
261	0.1213055314
262	0.1212643697
263	0.1212153015
264	0.1211372736
265	0.1211007824
266	0.1210450332
267	0.1209793813
268	0.1208825317
269	0.1208245861
270	0.120745324
271	0.1206980092
272	0.12060824
273	0.1205451271
274	0.1204912675
275	0.1203920308
276	0.1203402148
277	0.1202833078
278	0.1202385634
279	0.1201971492
280	0.1201288437
281	0.1200832101
282	0.1200383982
283	0.1199755526
284	0.11992776
285	0.1198639625
286	0.1197723311
287	0.119676673
288	0.1196382569
289	0.1195669223
290	0.1195303808
291	0.1194933011
292	0.1194401642
293	0.1193322061
294	0.1192765581
295	0.1192113613
296	0.1191709894
297	0.1190980256
298	0.1190523256
299	0.1189917195
300	0.1189530712
301	0.1188505394
302	0.1187898179
303	0.11862772
304	0.1185554893
305	0.1184934401
306	0.1184343691
307	0.1183885307
308	0.1183393797
309	0.1182895578
310	0.1182061324
311	0.1181210647
312	0.118078913
313	0.118001743
314	0.117971905
315	0.1179293158
316	0.1178500619
317	0.1178003801
318	0.1177478067
319	0.1177047472
320	0.1176510494
321	0.1176184361
322	0.1175238486
323	0.1174155108
324	0.1173364287
325	0.1172627204
326	0.1172040196
327	0.1171075057
328	0.1170418588
329	0.1169782809
330	0.1169275478
331	0.1168832975
332	0.116852772
333	0.116773155
334	0.1167247231
335	0.1166754339
336	0.1166059343
337	0.1165658516
338	0.1164939184
339	0.1164385444
340	0.1164055533
341	0.1163545405
342	0.1162942321
343	0.1162519526
344	0.1161752352
345	0.1161033941
346	0.1160404614
347	0.1159608387
348	0.1159244388
349	0.115866619
